dep;sexe;jour;hosp;rea;hosp - rea;rad;dc;dc ehpad;hosp quot;rea quot;rad quot;dc quot;dc ehpad quot;lits réa;hosp off;rea off;rad off;dc off
22;0;18/03/2020;1;1;0;3;0;;1;1;3;0;0;;;;;
22;1;18/03/2020;1;1;0;1;0;;1;1;1;0;0;;;;;
22;2;18/03/2020;0;0;0;2;0;;0;0;2;0;0;;;;;
23;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
23;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
23;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
24;0;18/03/2020;2;1;1;1;0;;2;1;1;0;0;;;;;
24;1;18/03/2020;1;1;0;1;0;;1;1;1;0;0;;;;;
24;2;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
25;0;18/03/2020;26;3;23;8;1;;26;3;8;1;0;;;;;
25;1;18/03/2020;15;2;13;2;1;;15;2;2;1;0;;;;;
25;2;18/03/2020;11;1;10;6;0;;11;1;6;0;0;;;;;
26;0;18/03/2020;17;2;15;0;0;;17;2;0;0;0;;;;;
26;1;18/03/2020;10;1;9;0;0;;10;1;0;0;0;;;;;
26;2;18/03/2020;7;1;6;0;0;;7;1;0;0;0;;;;;
27;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
27;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
27;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
28;0;18/03/2020;5;3;2;0;1;;5;3;0;1;0;;;;;
28;1;18/03/2020;1;1;0;0;1;;1;1;0;1;0;;;;;
28;2;18/03/2020;4;2;2;0;0;;4;2;0;0;0;;;;;
29;0;18/03/2020;13;5;8;3;0;;13;5;3;0;0;;;;;
29;1;18/03/2020;8;4;4;2;0;;8;4;2;0;0;;;;;
29;2;18/03/2020;5;1;4;1;0;;5;1;1;0;0;;;;;
2A;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
2A;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
2A;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
2B;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
2B;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
2B;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
30;0;18/03/2020;5;3;2;6;0;;5;3;6;0;0;;;;;
30;1;18/03/2020;5;3;2;1;0;;5;3;1;0;0;;;;;
30;2;18/03/2020;0;0;0;5;0;;0;0;5;0;0;;;;;
31;0;18/03/2020;23;5;18;11;0;;23;5;11;0;0;;;;;
31;1;18/03/2020;15;4;11;4;0;;15;4;4;0;0;;;;;
31;2;18/03/2020;8;1;7;7;0;;8;1;7;0;0;;;;;
32;0;18/03/2020;1;1;0;0;0;;1;1;0;0;0;;;;;
32;1;18/03/2020;1;1;0;0;0;;1;1;0;0;0;;;;;
32;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
33;0;18/03/2020;7;4;3;3;1;;7;4;3;1;0;;;;;
33;1;18/03/2020;5;3;2;1;0;;5;3;1;0;0;;;;;
33;2;18/03/2020;2;1;1;2;1;;2;1;2;1;0;;;;;
34;0;18/03/2020;37;15;22;18;2;;37;15;18;2;0;;;;;
34;1;18/03/2020;18;7;11;9;1;;18;7;9;1;0;;;;;
34;2;18/03/2020;18;7;11;9;1;;18;7;9;1;0;;;;;
35;0;18/03/2020;7;3;4;0;0;;7;3;0;0;0;;;;;
35;1;18/03/2020;4;2;2;0;0;;4;2;0;0;0;;;;;
35;2;18/03/2020;3;1;2;0;0;;3;1;0;0;0;;;;;
36;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
36;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
36;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
37;0;18/03/2020;4;1;3;0;0;;4;1;0;0;0;;;;;
37;1;18/03/2020;2;1;1;0;0;;2;1;0;0;0;;;;;
37;2;18/03/2020;2;0;2;0;0;;2;0;0;0;0;;;;;
38;0;18/03/2020;18;2;16;0;1;;18;2;0;1;0;;;;;
38;1;18/03/2020;10;1;9;0;1;;10;1;0;1;0;;;;;
38;2;18/03/2020;8;1;7;0;0;;8;1;0;0;0;;;;;
39;0;18/03/2020;2;1;1;1;0;;2;1;1;0;0;;;;;
39;1;18/03/2020;1;0;1;1;0;;1;0;1;0;0;;;;;
39;2;18/03/2020;1;1;0;0;0;;1;1;0;0;0;;;;;
40;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
40;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
40;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
41;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
41;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
41;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
42;0;18/03/2020;31;10;21;3;1;;31;10;3;1;0;;;;;
42;1;18/03/2020;21;9;12;2;1;;21;9;2;1;0;;;;;
42;2;18/03/2020;10;1;9;1;0;;10;1;1;0;0;;;;;
43;0;18/03/2020;1;1;0;5;0;;1;1;5;0;0;;;;;
43;1;18/03/2020;1;1;0;2;0;;1;1;2;0;0;;;;;
43;2;18/03/2020;0;0;0;3;0;;0;0;3;0;0;;;;;
44;0;18/03/2020;18;3;15;7;1;;18;3;7;1;0;;;;;
44;1;18/03/2020;14;3;11;3;0;;14;3;3;0;0;;;;;
44;2;18/03/2020;4;0;4;4;1;;4;0;4;1;0;;;;;
45;0;18/03/2020;5;1;4;0;0;;5;1;0;0;0;;;;;
45;1;18/03/2020;3;1;2;0;0;;3;1;0;0;0;;;;;
45;2;18/03/2020;2;0;2;0;0;;2;0;0;0;0;;;;;
46;0;18/03/2020;0;0;0;1;0;;0;0;1;0;0;;;;;
46;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
46;2;18/03/2020;0;0;0;1;0;;0;0;1;0;0;;;;;
47;0;18/03/2020;10;4;6;1;0;;10;4;1;0;0;;;;;
47;1;18/03/2020;7;4;3;1;0;;7;4;1;0;0;;;;;
47;2;18/03/2020;3;0;3;0;0;;3;0;0;0;0;;;;;
48;0;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
48;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
48;2;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
49;0;18/03/2020;12;1;11;26;0;;12;1;26;0;0;;;;;
49;1;18/03/2020;6;1;5;17;0;;6;1;17;0;0;;;;;
49;2;18/03/2020;6;0;6;9;0;;6;0;9;0;0;;;;;
50;0;18/03/2020;7;0;7;1;0;;7;0;1;0;0;;;;;
50;1;18/03/2020;4;0;4;0;0;;4;0;0;0;0;;;;;
50;2;18/03/2020;3;0;3;1;0;;3;0;1;0;0;;;;;
51;0;18/03/2020;35;7;28;6;1;;35;7;6;1;0;;;;;
51;1;18/03/2020;19;4;15;2;1;;19;4;2;1;0;;;;;
51;2;18/03/2020;16;3;13;4;0;;16;3;4;0;0;;;;;
52;0;18/03/2020;4;0;4;0;1;;4;0;0;1;0;;;;;
